,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
82,1.9458964109420775,0.4016467995595721,0.007480597496032715,0.0004985596606702919,0.01,"(100, 25, 100)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 40}",0.7992424242424242,0.7916666666666666,0.7414448669201521,0.7595419847328244,0.7786259541984732,0.732824427480916,0.732824427480916,0.7366412213740458,0.7633587786259542,0.7175572519083969,0.7554285714285714,0.026206370255813276,122,0.9301143583227446,0.8631935620499788,0.8001693480101609,0.8853152771900127,0.9039356749894202,0.8916631400761743,0.913245873889124,0.8861616589081676,0.8032162505289886,0.8895471857807872,0.876656232974556,0.04113681458273235
83,1.8688021421432495,0.21072080101606946,0.007978606224060058,0.000446115859546221,0.01,"(100, 25, 100)",80,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 80}",0.7689393939393939,0.7954545454545454,0.752851711026616,0.7824427480916031,0.7442748091603053,0.7519083969465649,0.7557251908396947,0.7480916030534351,0.7748091603053435,0.7633587786259542,0.7638095238095238,0.01566990024274426,104,0.8767471410419314,0.8365099534095722,0.7891617273497037,0.8848920863309353,0.8662716885315277,0.8717731696995344,0.9111299195937368,0.8747355057130766,0.9013965298349556,0.8679644519678374,0.8680582173472811,0.032568432221002024
84,2.898549699783325,0.4314643309605152,0.010571455955505371,0.001197091924100496,0.01,"(100, 25, 100)",170,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 170}",0.7840909090909091,0.8257575757575758,0.7756653992395437,0.7748091603053435,0.7748091603053435,0.7557251908396947,0.7900763358778626,0.7213740458015268,0.7900763358778626,0.7557251908396947,0.7748571428571429,0.025961692929026246,49,0.9470563320626854,0.9343498517577298,0.8818797629127858,0.8391874735505713,0.9602200592467203,0.8590774439272112,0.8362251375370292,0.8463817181548878,0.9077443927211172,0.9729157850190436,0.8985037956889782,0.05001827913852283
85,3.8775309562683105,0.20364909011720708,0.01894965171813965,0.0008923633263378228,0.01,"(100, 25, 100)",480,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 480}",0.7954545454545454,0.8068181818181818,0.7224334600760456,0.7557251908396947,0.7557251908396947,0.767175572519084,0.7633587786259542,0.7404580152671756,0.8206106870229007,0.7175572519083969,0.7645714285714286,0.03258609080368903,101,0.9686573485811097,0.916560779330792,0.8268416596104996,0.9013965298349556,0.9013965298349556,0.924672027084215,0.9073212018620398,0.920016927634363,0.946677951756242,0.9344054168429962,0.9147946372372168,0.03546952434625435
86,5.249861693382263,0.4199678424643775,0.025731372833251952,0.0027780045371815654,0.01,"(100, 25, 100)",670,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 670}",0.7840909090909091,0.8409090909090909,0.7984790874524715,0.7633587786259542,0.767175572519084,0.7824427480916031,0.767175572519084,0.7748091603053435,0.8015267175572519,0.7366412213740458,0.7817142857142857,0.026527654097497765,11,0.96569250317662,0.9356204997882254,0.9017781541066893,0.8692340245450698,0.9471011426153195,0.920863309352518,0.9801100296233601,0.9009733389758782,0.973338975878121,0.9272111722386797,0.9321923150300482,0.03370755614374162
87,6.2810040473937985,0.3530517549727647,0.028922629356384278,0.0012615021133256649,0.01,"(100, 25, 100)",860,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 860}",0.7689393939393939,0.8068181818181818,0.8212927756653993,0.7633587786259542,0.7366412213740458,0.7633587786259542,0.767175572519084,0.7442748091603053,0.8015267175572519,0.7519083969465649,0.7725714285714286,0.02668377085869246,71,0.9644218551461246,0.9085133418043202,0.9534292972057579,0.954295387219636,0.916208209902666,0.9767245027507406,0.9174777824798984,0.9661447312738045,0.9513330512060939,0.9377909437156158,0.9446339102704657,0.022353217087025718
88,7.715390014648437,0.2990184421464212,0.03241286277770996,0.0019042449888796971,0.01,"(100, 25, 100)",990,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 990}",0.7803030303030303,0.821969696969697,0.7756653992395437,0.7786259541984732,0.7480916030534351,0.7633587786259542,0.7633587786259542,0.7786259541984732,0.7938931297709924,0.7557251908396947,0.776,0.01995999494391977,37,0.9449385853451927,0.9407030919102075,0.958086367485182,0.9526026237833263,0.9437156157426999,0.9187473550571308,0.9682606855691918,0.9585272958104105,0.980956411341515,0.9564113415150233,0.952294937355988,0.01597917222262381
89,9.103240370750427,0.34119791916828807,0.03750016689300537,0.002965667524755876,0.01,"(100, 25, 100)",1150,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 1150}",0.7803030303030303,0.8106060606060606,0.779467680608365,0.7938931297709924,0.7633587786259542,0.7786259541984732,0.7824427480916031,0.7519083969465649,0.8091603053435115,0.7137404580152672,0.7763809523809524,0.02703087544999632,33,0.974587039390089,0.9737399407030919,0.9458086367485182,0.9234024545069827,0.9449851883199323,0.9678374947101143,0.920016927634363,0.9280575539568345,0.9669911129919594,0.9707998307236564,0.9516226179685541,0.020765082112514738
90,0.6750951290130616,0.16365519611646617,0.005485701560974121,0.0004985097149156483,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5871212121212122,0.6098484848484849,0.5513307984790875,0.5916030534351145,0.5343511450381679,0.5610687022900763,0.5916030534351145,0.5877862595419847,0.5954198473282443,0.5610687022900763,0.5771428571428572,0.022473829382014688,167,0.5946632782719187,0.5933926302414231,0.550381033022862,0.5763859500634786,0.5818874312314855,0.5873889123994922,0.5785019043588658,0.6000846381718155,0.5848497672450275,0.585272958104105,0.5832808503110474,0.013008454105722718
91,1.5353026628494262,0.3934993343394353,0.008177924156188964,0.0005980987887330856,0.001,"(50, 50)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 40}",0.7727272727272727,0.803030303030303,0.7718631178707225,0.7480916030534351,0.7290076335877863,0.7290076335877863,0.7519083969465649,0.7404580152671756,0.7442748091603053,0.6946564885496184,0.7485714285714286,0.028060422936027517,139,0.8831003811944091,0.7971198644642101,0.871718882303133,0.8315700380871773,0.8764282691493863,0.8015234870926788,0.8806601777401608,0.8408802369868811,0.7812103258569615,0.8104104951333051,0.8374622158008304,0.03674554046753145
92,2.0584548473358155,0.4308904864072446,0.008877253532409668,0.0016363157547144025,0.001,"(50, 50)",80,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 80}",0.7613636363636364,0.821969696969697,0.7490494296577946,0.7519083969465649,0.7137404580152672,0.7442748091603053,0.7633587786259542,0.7290076335877863,0.7748091603053435,0.7251908396946565,0.7535238095238095,0.029001793140101383,132,0.8305802626005929,0.9144430326132994,0.880186282811177,0.8616165890816758,0.8658484976724503,0.8624629707998307,0.9001269572577232,0.8628861616589082,0.90562843842573,0.8108336859923826,0.869461287891377,0.030826221048769076
93,2.9026381015777587,0.4206895143194459,0.010870909690856934,0.0006981204878931953,0.001,"(50, 50)",170,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 170}",0.7765151515151515,0.8181818181818182,0.7452471482889734,0.7862595419847328,0.7099236641221374,0.7824427480916031,0.7748091603053435,0.7366412213740458,0.7938931297709924,0.7213740458015268,0.7645714285714286,0.032834210730604683,101,0.879711986446421,0.8839474798814062,0.9288738357324301,0.9191705459162082,0.8679644519678374,0.8899703766398646,0.8819297503173932,0.9305966991112992,0.9394837071519255,0.8793906051629284,0.9001039438327714,0.02498731470588382
94,3.821480703353882,0.30347465845033633,0.01875028610229492,0.0013965335584187892,0.001,"(50, 50)",480,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 480}",0.7727272727272727,0.821969696969697,0.8022813688212928,0.8053435114503816,0.7786259541984732,0.767175572519084,0.7519083969465649,0.7786259541984732,0.7977099236641222,0.7442748091603053,0.7820952380952381,0.023370386034545918,9,0.9512918254976704,0.9102075391783143,0.90770533446232,0.8925095217943293,0.9555649597968684,0.9661447312738045,0.9458315700380872,0.9403300888700804,0.9140922556072789,0.969530258146424,0.9353208084665179,0.025685827091116133
95,4.832876420021057,0.2749086106846944,0.02343759536743164,0.0016836798826084846,0.001,"(50, 50)",670,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 670}",0.7916666666666666,0.7992424242424242,0.7946768060836502,0.7786259541984732,0.7595419847328244,0.7748091603053435,0.7824427480916031,0.7709923664122137,0.816793893129771,0.7748091603053435,0.7843809523809524,0.01563560739306166,3,0.9390088945362135,0.9135959339263025,0.9593564775613886,0.9564113415150233,0.9779940753279729,0.9335590351248413,0.9686838764282691,0.9305966991112992,0.9597968683876428,0.9403300888700804,0.9479333290789034,0.018711047074272007
96,6.068073487281799,0.3372081913598992,0.027426862716674806,0.0016841320526975066,0.001,"(50, 50)",860,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 860}",0.7878787878787878,0.8106060606060606,0.779467680608365,0.7557251908396947,0.7786259541984732,0.7786259541984732,0.767175572519084,0.7251908396946565,0.8053435114503816,0.7480916030534351,0.7737142857142857,0.024538458984847265,58,0.9593392630241423,0.9589157136806438,0.905588484335309,0.9344054168429962,0.9454083791790098,0.9373677528565383,0.9767245027507406,0.9043588658484977,0.9394837071519255,0.9652983495556496,0.9426890435225452,0.022738481531432764
97,7.688691735267639,1.0118324812408044,0.036303377151489256,0.008178121897294909,0.001,"(50, 50)",990,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 990}",0.7954545454545454,0.7992424242424242,0.7832699619771863,0.7519083969465649,0.7824427480916031,0.7557251908396947,0.8053435114503816,0.7595419847328244,0.816793893129771,0.7519083969465649,0.7801904761904762,0.022808616078178065,15,0.9627276577721304,0.9750105887335875,0.9259102455546148,0.9724925941599661,0.8916631400761743,0.950486669487939,0.9157850190435887,0.9339822259839188,0.9259415996614473,0.9475243334743969,0.9401524073947763,0.025138816026418046
98,8.20884997844696,0.19827175383265705,0.03630211353302002,0.0021475464185157847,0.001,"(50, 50)",1150,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 1150}",0.7992424242424242,0.8143939393939394,0.7680608365019012,0.7862595419847328,0.816793893129771,0.7900763358778626,0.7709923664122137,0.7366412213740458,0.7824427480916031,0.7366412213740458,0.7801904761904762,0.026525354267430162,15,0.9576450656501483,0.9648454044896231,0.9610499576629975,0.9407532797291579,0.9403300888700804,0.9030892932712653,0.9098603470165044,0.9521794329242488,0.9263647905205248,0.9750317393144308,0.9431149399448981,0.022600155531664334
99,0.3925501585006714,0.021493781687342468,0.005285739898681641,0.00045721567652410526,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.5568181818181818,0.5871212121212122,0.5285171102661597,0.5648854961832062,0.5305343511450382,0.5916030534351145,0.6183206106870229,0.5610687022900763,0.5992366412213741,0.5381679389312977,0.5676190476190476,0.029082671891407355,170,0.5747564591274884,0.5612028801355358,0.5719729043183742,0.5746931866271688,0.5763859500634786,0.5751163774862463,0.5835801946677952,0.5924672027084215,0.5730004231908591,0.5907744392721117,0.5773950017597479,0.008807982125253135
100,0.9639220714569092,0.13856194652929688,0.007081437110900879,0.0002993190260793228,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 40}",0.7537878787878788,0.7765151515151515,0.7300380228136882,0.7442748091603053,0.6946564885496184,0.7099236641221374,0.7519083969465649,0.6946564885496184,0.732824427480916,0.7290076335877863,0.7318095238095238,0.02509906100798225,149,0.7780601440067768,0.7534942820838628,0.7675698560541914,0.7955988150655946,0.7994075327972916,0.7617435463393991,0.8015234870926788,0.7913669064748201,0.789250952179433,0.8201438848920863,0.7858159406986135,0.0194047032206664
