,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
48,18.677120685577393,5.182367096037125,0.01444540023803711,0.0009563749056155693,0.01,"(50, 50)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.4328097731239092,0.4463305042436346,0.4687656171914043,0.4763335837716003,0.436308926780341,0.4521,0.017431027670760907,93,0.4400525361185815,0.4507315243216206,0.4634954369296162,0.47229337164990315,0.44298026480139896,0.4539106267642241,0.012259038108761644
49,29.368222093582155,15.513726660790335,0.02030019760131836,0.011831485727960864,0.01,"(50, 50)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.612565445026178,0.6120818771842237,0.6741629185407296,0.4465314300025044,0.6549648946840522,0.6001,0.08041245553928009,69,0.6318719119394584,0.6164186569963737,0.6675834479309913,0.4506778284500531,0.6663127654259305,0.6065729221485615,0.08041317149503951
50,20.463003969192506,7.879880753925004,0.015030860900878906,0.0019124187079253474,0.01,"(50, 50)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.6504612316130641,0.6657513729405892,0.6869065467266366,0.7122464312546957,0.675777331995988,0.6782,0.020811441660901014,50,0.6652073300394021,0.6708765787170189,0.6766470808851106,0.7206847004435559,0.6882962777916563,0.6843423935753488,0.01971341235110236
51,27.868305015563966,13.212924145984324,0.01756939888000488,0.008303655207838465,0.01,"(50, 50)",12,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 12}",0.7337322363500374,0.6552670993509735,0.7373813093453273,0.7545704983721513,0.7166499498495487,0.7195,0.034324786611010696,36,0.7540183876415035,0.6599974990621483,0.7285910738842355,0.7630411694883489,0.7133399950037472,0.7237976250159968,0.03648601245867559
52,35.3719868183136,20.504769177478565,0.02088651657104492,0.011557934328325581,0.01,"(50, 50)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.6846173024183495,0.7880678981527709,0.750624687656172,0.7625845229151015,0.7896188565697091,0.75505,0.038298583683162316,17,0.7129276377509538,0.789108415655871,0.7471558944868109,0.7596051727369276,0.7904696477641768,0.7598533536789479,0.028832363738887593
53,32.08774700164795,20.245652395983203,0.02069120407104492,0.0121339015738031,0.01,"(50, 50)",16,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 16}",0.7833457990526054,0.7246630054917623,0.7811094452773614,0.7335336839469071,0.7888665997993982,0.7623,0.027373358172044927,14,0.8087435111639252,0.7352132049518569,0.7832229028628579,0.7373649028550009,0.7887834124406695,0.7706655868548621,0.0293314747205942
54,3.588750886917114,0.9198097496168608,0.011516618728637695,0.0003898384337628485,0.01,"(50,)",1,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 1}",0.06182996758912989,0.05491762356465302,0.06721639180409796,0.06361131980966692,0.056920762286860584,0.0609,0.004466580416845621,160,0.061917568328225654,0.06421157934225334,0.06019502437804725,0.05984881614293747,0.061516362727954035,0.06153787018388355,0.0015459296443574863
55,1.9949434757232667,0.5218587803708916,0.011125946044921875,0.000995650015015991,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",0.04013961605584642,0.10059910134797803,0.10419790104947527,0.10718757826195843,0.10080240722166499,0.09055,0.025364583541904587,157,0.040152604915879665,0.09884956858822058,0.10001250156269534,0.10332979321546823,0.10111166625031226,0.08869122690651522,0.02431425889221098
56,9.323725366592408,2.453122356629098,0.011516952514648437,0.0007301429937946051,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 4}",0.31787584143605085,0.37169246130803796,0.3583208395802099,0.3268219383921863,0.3420260782347041,0.34335,0.019768165052166452,124,0.32222152730001874,0.3669501062898587,0.351168896112014,0.33741488098956707,0.34299275543342495,0.3441496332249767,0.014809920369893051
57,14.784834337234496,1.4346207160691928,0.012883281707763672,0.0009556543014239542,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",0.43206182996758913,0.4333499750374438,0.4300349825087456,0.43526170798898073,0.4315446339017051,0.43245,0.001761055451549889,99,0.44111576708987427,0.4431661873202451,0.42561570196274534,0.4367464234397451,0.43348738446165375,0.4360262928548527,0.0062004175275068634
