,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
249,16.895998334884645,1.7780078826340975,0.008588790893554688,0.00048679625648133054,0.0001,"(42, 42)",50,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 50}",0.7812166488794023,0.7348538845331433,0.7522313459478758,0.7401574803149606,0.755738880918221,0.7528571428571429,0.01613585720957164,22,0.8012333541871481,0.7596926925138467,0.7635503169925886,0.7475459575227557,0.7661434177666786,0.7676331477966036,0.01796891046011804
250,18.24015874862671,1.9832035887463408,0.009190130233764648,0.0003868650246272288,0.0001,"(42, 42)",60,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 60}",0.7427961579509071,0.7612259444048468,0.7197429489468047,0.7462419470293487,0.7363701578192252,0.7412857142857143,0.013517266283544641,40,0.7414424881580123,0.7760407361086297,0.7277435485311189,0.7620024986614313,0.7450053514092044,0.7504469245736793,0.016820870124830724
251,20.023153400421144,3.232282670047251,0.00978713035583496,0.00115426206396004,0.0001,"(42, 42)",70,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 70}",0.7815723941657773,0.7822523164647185,0.7436629775080329,0.7183249821045097,0.7510760401721664,0.7554285714285714,0.024241732828206658,17,0.7950665832514077,0.8012328032874755,0.7627466738101616,0.722113153667678,0.7562433107384945,0.7674805049510435,0.028660389433831993
252,21.804247999191283,2.990454092626559,0.01000199317932129,1.7587859178805686e-05,0.0001,"(42, 42)",80,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 80}",0.7356812522234081,0.7377049180327869,0.7518743305962157,0.768790264853257,0.7923242467718795,0.7572142857142857,0.021149902614165727,16,0.7438555724372151,0.7553153475075933,0.770872399321368,0.7719079064786721,0.8008383874420264,0.7685579226373751,0.01920510090336048
253,22.07907042503357,2.8922300639927463,0.010770893096923828,0.0011686106984553622,0.0001,"(42, 42)",100,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 100}",0.7723230167200285,0.7719173200285103,0.7268832559800071,0.7702219040801718,0.7951936872309899,0.7672857142857142,0.02219924865318208,10,0.7797837161497899,0.7765767375379667,0.7263148495401375,0.7851151169016598,0.8005708169818052,0.7736722474222718,0.0250718230421234
254,28.708880043029787,4.205170613646109,0.01297931671142578,0.0008955705430214895,0.0001,"(42, 42)",150,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 150}",0.7762362148701529,0.7423378474697078,0.7893609425205284,0.7773801002147459,0.6886657101865137,0.7548571428571429,0.03653927099633626,18,0.7813924390025918,0.7544220117920315,0.7996249665148674,0.7841334999107621,0.6964859079557617,0.7632117650352028,0.03639718918590329
255,31.453015518188476,2.0495329046680957,0.015576457977294922,0.0008008584992543966,0.0001,"(42, 42)",200,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (42, 42), 'km__n_clusters': 200}",0.7915332621842761,0.7893799002138275,0.738307747233131,0.7745168217609163,0.7865853658536586,0.7760714285714285,0.019781749870022066,7,0.8059701492537313,0.809451491870645,0.755335297794446,0.7844012136355524,0.797449161612558,0.7905214628333865,0.019598594756929294
256,1.33925199508667,0.19046055799900322,0.004400920867919922,0.00047943846685158484,0.0001,"(50,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.10779082177161152,0.10869565217391304,0.10496251338807569,0.11632068718682892,0.1133428981348637,0.11021428571428571,0.004068240538694602,316,0.1068906962195013,0.11631231016616045,0.11697472988659702,0.1245761199357487,0.11211202283267928,0.11537317580813736,0.005843435772309862
257,3.383497381210327,0.6929915350197254,0.004780817031860352,0.0003960998590898813,0.0001,"(50,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.3717538242618285,0.33570919458303633,0.3377365226704748,0.3654259126700072,0.3360832137733142,0.34935714285714287,0.015864606889207482,286,0.3722405934399857,0.3352688940503841,0.34913831592106437,0.37640549705514903,0.3366928291116661,0.3539492259156499,0.017370901667040996
258,5.07116174697876,0.7306924246280906,0.005591821670532226,0.00047967230990589337,0.0001,"(50,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.5891141942369263,0.5894511760513186,0.5733666547661549,0.5862562634216177,0.5426829268292683,0.5762142857142857,0.01772525099525251,263,0.596657431405845,0.6032696087189566,0.5911242075185285,0.586471533107264,0.5485194434534427,0.5852084448408074,0.01918311443342712
259,6.69024395942688,0.9055701902476886,0.005585336685180664,0.0004896107098584188,0.0001,"(50,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.6688011383849164,0.6710620099786172,0.6915387361656551,0.664638511095204,0.6739598278335724,0.674,0.009283889691786238,198,0.6751273572258468,0.6854564945506522,0.7068488257880168,0.6691058361592004,0.6797181591152337,0.68325133456779,0.012963655227574209
260,8.217653799057008,0.8257678242745833,0.00558314323425293,0.0005018621860716706,0.0001,"(50,)",26,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 26}",0.7082888651725364,0.7163221667854597,0.7247411638700464,0.7111667859699355,0.680416068866571,0.7082142857142857,0.014948224831284248,131,0.722674054875324,0.7412899767732714,0.7356013929815162,0.7188113510619311,0.68712094184802,0.7210995435080125,0.018869115056491515
